check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-24 18:20:48.664559,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1616,1616,5,1
2019-01-24 19:20:53.690177,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1772,156,0,0
2019-01-24 20:20:45.953304,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1829,57,0,0
2019-01-24 21:20:51.018893,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1850,21,0,0
2019-01-24 22:20:43.312877,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1866,16,0,0
2019-01-24 23:20:48.518006,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1875,9,0,0
2019-01-25 00:20:53.568299,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1885,10,0,0
2019-01-25 01:20:45.583652,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1889,4,0,0
2019-01-25 02:20:50.640385,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1892,3,0,0
2019-01-25 03:20:55.637782,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1896,4,0,0
2019-01-25 04:20:47.754678,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1897,1,0,0
2019-01-25 05:20:52.795390,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1898,1,0,0
2019-01-25 06:20:44.809451,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1899,1,0,0
2019-01-25 07:20:49.929662,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1901,2,0,0
2019-01-25 08:20:55.240155,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1904,3,0,0
2019-01-25 09:20:47.233447,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1906,2,0,0
2019-01-25 10:20:52.270182,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1910,4,0,0
2019-01-25 11:20:44.320699,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1911,1,0,0
2019-01-25 12:20:49.387317,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1914,3,0,0
2019-01-25 13:20:54.521151,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1919,5,0,0
2019-01-25 14:20:46.672390,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1920,1,0,0
2019-01-25 15:20:51.746742,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1925,5,0,0
2019-01-25 16:20:43.742469,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1927,2,0,0
2019-01-25 17:20:48.883431,13090304,5,1,2019-01-24 17:20:43," 일본 초계기, 벌써 4번째 근접 위협 비행…의도는? ",1931,4,0,0
