check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-29 23:00:49.587204,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1194,1194,5,9
2019-01-30 00:00:41.667125,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1348,154,0,0
2019-01-30 01:00:46.779902,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1407,59,0,0
2019-01-30 02:00:51.869054,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1436,29,0,0
2019-01-30 03:00:43.980662,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1448,12,0,0
2019-01-30 04:00:49.069800,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1458,10,0,0
2019-01-30 05:00:41.120211,13109892,5,9,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1468,10,0,0
2019-01-30 06:00:46.171144,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1474,6,0,1
2019-01-30 07:00:51.282510,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1483,9,0,0
2019-01-30 08:00:43.310720,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1498,15,0,0
2019-01-30 09:00:48.302366,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1523,25,0,0
2019-01-30 10:00:40.365177,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1545,22,0,0
2019-01-30 11:00:45.462601,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1561,16,0,0
2019-01-30 12:00:50.594832,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1570,9,0,0
2019-01-30 13:00:42.669996,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1578,8,0,0
2019-01-30 14:00:47.769394,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1586,8,0,0
2019-01-30 15:00:52.703342,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1591,5,0,0
2019-01-30 16:00:44.733565,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1596,5,0,0
2019-01-30 17:00:49.742752,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1598,2,0,0
2019-01-30 18:00:41.770231,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1599,1,0,0
2019-01-30 19:00:46.966157,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1602,3,0,0
2019-01-30 20:00:52.110640,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1603,1,0,0
2019-01-30 21:00:44.189783,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1606,3,0,0
2019-01-30 22:00:49.107352,13109892,5,10,2019-01-29 22:00:40," 김복동 할머니의 마지막 말,'일본 해도 해도 너무한다' ",1607,1,0,0
